league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2627,Arsenal,Ben White,1,2026,83,7298,D,4,317,0,0.12903930246829987,0,0.12903930246829987,1,0.22225914150476456,1,3,0,0,2.646710306406021,2.4759733974933624
ENG-Premier League,2627,Arsenal,Bruno Guimarães,1,2026,83,8327,M S,3,122,1,0.08167972415685654,1,0.08167972415685654,0,0.0,2,0,0,0,0.19222685508430004,0.1105471383780241
ENG-Premier League,2627,Arsenal,Bukayo Saka,1,2026,83,7322,M,5,422,3,4.273403286933899,2,3.5122345089912415,0,0.3061508983373642,15,7,0,0,4.156832754611969,1.014505384489894
ENG-Premier League,2627,Arsenal,Christos Tzolis,1,2026,83,9746,M,5,371,0,0.23767352104187012,0,0.23767352104187012,1,1.0445209741592407,4,8,2,0,3.0590693801641464,1.9334625601768494
ENG-Premier League,2627,Arsenal,Cristhian Mosquera,1,2026,83,10024,D,2,170,0,0.0,0,0.0,0,0.0,0,0,0,0,1.3176348507404327,1.3176348507404327
ENG-Premier League,2627,Arsenal,David Raya,1,2026,83,9676,GK,5,450,0,0.0,0,0.0,0,0.0,0,0,0,0,0.8331011682748795,0.8331011682748795
ENG-Premier League,2627,Arsenal,Declan Rice,1,2026,83,5553,M,5,418,0,0.09039966482669115,0,0.09039966482669115,2,0.5419433666393161,4,7,1,0,3.4073787182569504,3.2758855000138283
ENG-Premier League,2627,Arsenal,Eberechi Eze,1,2026,83,8706,S,4,79,0,0.03748644143342972,0,0.03748644143342972,0,0.0,1,0,0,0,1.0048265382647514,1.0048265382647514
ENG-Premier League,2627,Arsenal,Ezri Konsa Ngoyo,1,2026,83,7726,D S,4,280,0,0.07758472859859467,0,0.07758472859859467,0,0.036134351044893265,1,1,0,0,0.9699474051594734,0.9699474051594734
ENG-Premier League,2627,Arsenal,Gabriel,1,2026,83,5613,D,5,450,0,1.027115480042994,0,1.027115480042994,0,0.03089350461959839,5,1,2,0,2.608785204589367,2.56489010900259
ENG-Premier League,2627,Arsenal,Jurriën Timber,1,2026,83,11707,D S,2,104,0,0.0,0,0.0,0,0.0,0,0,0,0,0.06808554194867611,0.06808554194867611
ENG-Premier League,2627,Arsenal,Kai Havertz,1,2026,83,5220,F,5,442,2,1.1796535849571228,2,1.1796535849571228,0,0.38561082258820534,10,5,1,0,3.836165964603424,2.4146069139242172
ENG-Premier League,2627,Arsenal,Martin Odegaard,1,2026,83,2517,M,5,391,2,1.0822108462452888,2,1.0822108462452888,0,1.9719086587429047,7,12,0,0,3.042163275182247,0.9677608143538237
ENG-Premier League,2627,Arsenal,Martín Zubimendi,1,2026,83,7526,S,5,80,0,0.1898118108510971,0,0.1898118108510971,0,0.0,3,0,0,0,0.28211889415979385,0.28211889415979385
ENG-Premier League,2627,Arsenal,Max Dowman,1,2026,83,13872,S,1,8,0,0.0,0,0.0,0,0.0485323965549469,0,1,0,0,0.03089350461959839,0.03089350461959839
